alpha,tau,strategy,n_patients,accuracy,mean_steps,pct_early_stop
0.0,0.7,random,328,0.6128048780487805,1.7225609756097562,0.8048780487804879
0.0,0.7999999999999999,random,328,0.6189024390243902,1.6585365853658536,0.8262195121951219
0.0,0.8999999999999999,random,328,0.6189024390243902,1.4847560975609757,0.8567073170731707
0.0,0.9999999999999999,random,328,0.5914634146341463,1.1890243902439024,0.948170731707317
0.0,1.0999999999999999,random,328,0.5945121951219512,1.146341463414634,0.948170731707317
0.0,1.2,random,328,0.5853658536585366,1.1189024390243902,0.9512195121951219
0.0,1.3,random,328,0.5853658536585366,1.1128048780487805,0.9542682926829268
0.0,1.4,random,328,0.5853658536585366,1.0975609756097562,0.9603658536585366
0.0,1.5,random,328,0.5853658536585366,1.076219512195122,0.9695121951219512
0.0,1.5999999999999999,random,328,0.5853658536585366,1.045731707317073,0.9786585365853658
0.0,1.7,random,328,0.5853658536585366,1.0304878048780488,0.9817073170731707
0.0,1.8,random,328,0.5823170731707317,1.0060975609756098,0.9969512195121951
0.0,1.9,random,328,0.5823170731707317,1.0030487804878048,1.0
0.0,0.1,bfs,328,0.5762195121951219,1.8445121951219512,0.7164634146341463
0.0,0.2,bfs,328,0.5762195121951219,1.795731707317073,0.7378048780487805
0.0,0.3,bfs,328,0.5701219512195121,1.725609756097561,0.7621951219512195
0.0,0.4,bfs,328,0.5701219512195121,1.6676829268292683,0.7804878048780488
0.0,0.5,bfs,328,0.5701219512195121,1.6402439024390243,0.7926829268292683
0.0,0.6,bfs,328,0.5701219512195121,1.6280487804878048,0.7987804878048781
0.0,0.7,bfs,328,0.5670731707317073,1.5853658536585367,0.823170731707317
0.0,0.7999999999999999,bfs,328,0.5670731707317073,1.5701219512195121,0.8353658536585366
0.0,0.8999999999999999,bfs,328,0.5670731707317073,1.5335365853658536,0.8567073170731707
0.0,0.9999999999999999,bfs,328,0.5640243902439024,1.4451219512195121,0.9146341463414634
0.0,1.0999999999999999,bfs,328,0.5640243902439024,1.3841463414634145,0.9176829268292683
0.0,1.2,bfs,328,0.5609756097560976,1.375,0.9176829268292683
0.0,1.3,bfs,328,0.5609756097560976,1.3567073170731707,0.926829268292683
0.0,1.4,bfs,328,0.5609756097560976,1.3231707317073171,0.9359756097560976
0.0,1.5,bfs,328,0.5609756097560976,1.2896341463414633,0.9451219512195121
0.0,1.5999999999999999,bfs,328,0.5609756097560976,1.1128048780487805,0.9634146341463414
0.0,1.7,bfs,328,0.5609756097560976,1.0884146341463414,0.9695121951219512
0.0,1.8,bfs,328,0.5579268292682927,1.0396341463414633,0.9908536585365854
